sample_id,selection_order,annotation_type,effective_default,repository,repository_url,pinned_commit,source_server,tool,source,field_unit_id,random_rank,actual_value,classification,behavior_summary,implementation_evidence,external_evidence,justification,inconclusive_reason
S019,19,destructiveHint,true,KnockOutEZ/wigolo,https://github.com/KnockOutEZ/wigolo,b3ccf92be3ac15ce3ad5a439be11777d992996a3,,extract,src/server.ts tools/list; description at src/instructions.ts:252,"[""KnockOutEZ/wigolo"",""b3ccf92be3ac15ce3ad5a439be11777d992996a3"","""",""extract"",""destructiveHint""]",2e74917029f677b3a8b023f010a8c8534231aba4ef59e1ce5b98f52ee5cbf37b,false,CONSERVATIVE_IMPRECISE,"extract reads supplied HTML, cached HTML, or fetched page HTML and derives structured output without deleting or overwriting state.","src/tools/extract.ts:320-356,359-520",,No supported path performs a destructive mutation. Explicit destructiveHint false would materially improve risk presentation over the conservative true default.,
S020,20,destructiveHint,true,mark3labs/mcp-filesystem-server,https://github.com/mark3labs/mcp-filesystem-server,ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b,,search_within_files,filesystemserver/server.go:185,"[""mark3labs/mcp-filesystem-server"",""ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b"","""",""search_within_files"",""destructiveHint""]",2ec1009d725490866901a9cb6e1092bf915aa4d0f5734dd24ab755973ca63ea2,false,CONSERVATIVE_IMPRECISE,"search_within_files walks allowed paths, opens files, scans their content, and returns matches without writing.",filesystemserver/handler/search_within_files.go:212-313,,The implementation is read-only and has no destructive effect. Explicit destructiveHint false would materially improve approval handling over the conservative true default.,
S021,21,idempotentHint,false,microsoft/playwright-mcp,https://github.com/microsoft/playwright-mcp,7e0457a7cbf88823bf0146d12c46ae12c6818247,,browser_navigate_back,"tools/list from locked playwright-core package with caps=vision,pdf,devtools","[""microsoft/playwright-mcp"",""7e0457a7cbf88823bf0146d12c46ae12c6818247"","""",""browser_navigate_back"",""idempotentHint""]",168bb54f4cf83ab81d16ad2c7198ebe7bb2a7f7a1688793c887ab4c6c80aa15c,false,CORRECT,browser_navigate_back calls page.goBack; repeated identical calls can traverse successive history entries and change browser state again.,package-lock.json:958-961; installed locked playwright-core/lib/coreBundle.js:66527-66565,,"A same-argument repetition can perform an additional navigation, so actual idempotentHint is false and matches the omission default.",
S022,22,idempotentHint,false,t8y2/dbx,https://github.com/t8y2/dbx,28b34918436f4901124304b8df8ac694234e9bc2,,dbx_open_session,crates/dbx-mcp/src/server.rs:395,"[""t8y2/dbx"",""28b34918436f4901124304b8df8ac694234e9bc2"","""",""dbx_open_session"",""idempotentHint""]",14a7fbebb9f69d4f541118d8045351959b91f52a762e7c5830e686caf3cb06a9,false,CORRECT,dbx_open_session generates a new UUID and inserts a new active session on each successful invocation.,crates/dbx-mcp/src/server.rs:395-423; crates/dbx-mcp/src/session.rs:64-87,,"Repeating identical arguments creates another session, so actual idempotentHint is false and matches the omission default.",
S023,23,idempotentHint,false,mark3labs/mcp-filesystem-server,https://github.com/mark3labs/mcp-filesystem-server,ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b,,search_files,filesystemserver/server.go:98,"[""mark3labs/mcp-filesystem-server"",""ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b"","""",""search_files"",""idempotentHint""]",148daddb797b040dd51dd8d8915681bfd5be07468b96b0f8c6f47a175769dfba,true,CONSERVATIVE_IMPRECISE,search_files walks the filesystem and collects matching paths without mutating environmental state.,filesystemserver/handler/search_files.go:138-163,,A read-only call adds no effect when repeated. Explicit idempotentHint true would materially enable safe retry behavior over the conservative false default.,
S024,24,idempotentHint,false,KnockOutEZ/wigolo,https://github.com/KnockOutEZ/wigolo,b3ccf92be3ac15ce3ad5a439be11777d992996a3,,fetch,src/server.ts tools/list; description at src/instructions.ts:198,"[""KnockOutEZ/wigolo"",""b3ccf92be3ac15ce3ad5a439be11777d992996a3"","""",""fetch"",""idempotentHint""]",17778b341c85509640bcbbcf7213b650e1084233509f79ba89bd70799482568f,false,CORRECT,fetch supports browser click/type actions and can also refresh its user-visible cache; repeated identical calls can re-trigger actions or refresh state again.,src/tools/fetch.ts:169-340; src/fetch/action-executor.ts:23-117; src/cache/store.ts:91-135,,"At least one supported same-argument repetition can add an external action or cache effect, so aggregate actual idempotentHint is false and matches the omission default.",
S025,25,idempotentHint,false,github/github-mcp-server,https://github.com/github/github-mcp-server,eb4c099e05ef622445e930b18682a0464f22418f,,manage_repository_notification_subscription,tools/list with --toolsets=all; explicitness checked against pkg/github source literals,"[""github/github-mcp-server"",""eb4c099e05ef622445e930b18682a0464f22418f"","""",""manage_repository_notification_subscription"",""idempotentHint""]",05df8471ac6e4aefd0dfdd1b80dabd587bc2ceda83005a8eb1295891199b1251,true,CONSERVATIVE_IMPRECISE,Each action sets a repository subscription to a fixed watch/ignore state with PUT or removes that single subscription with DELETE.,pkg/github/notifications.go:504-602; go.mod:8; google/go-github activity_watching.go:115-158,https://docs.github.com/en/rest/activity/watching (accessed 2026-08-08),"After one successful call, the same arguments add no further subscription-state effect; a repeat error after deletion does not defeat idempotence under the protocol. Explicit true would materially enable retry handling.",
S026,26,idempotentHint,false,korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,b88c0de3f706f4f07337c9eda7133c736d1c9524,,reactions_remove,pkg/server/server.go:224,"[""korotovsky/slack-mcp-server"",""b88c0de3f706f4f07337c9eda7133c736d1c9524"","""",""reactions_remove"",""idempotentHint""]",0ba6c553a48e4d4c929226926c30801335beab81a3cd999d1013bbd67dda3c89,true,CONSERVATIVE_IMPRECISE,"reactions_remove removes the caller's named reaction from one Slack item; when absent, Slack returns no_reaction rather than removing anything else.",pkg/handler/conversations.go:323-356; pkg/provider/api.go:540-542,https://docs.slack.dev/reference/methods/reactions.remove/ (accessed 2026-08-08),"After the first removal, repetition adds no environmental effect; the possible no_reaction error does not defeat idempotence under the protocol. Explicit true would materially enable retry handling.",
S027,27,idempotentHint,false,makenotion/notion-mcp-server,https://github.com/makenotion/notion-mcp-server,1d38420769c8a1fe2d583ff1e7d2d108d4eb0b30,,API-update-a-data-source,tools/list generated from scripts/notion-openapi.json via src/openapi-mcp-server/mcp/proxy.ts:173,"[""makenotion/notion-mcp-server"",""1d38420769c8a1fe2d583ff1e7d2d108d4eb0b30"","""",""API-update-a-data-source"",""idempotentHint""]",0134733aba4bb03feb18c05f495bc72d598fc2078c7a826bfb484cfce51001a8,unknown,INCONCLUSIVE,The generated tool forwards a PATCH that can set title or description and update data-source property schemas.,scripts/notion-openapi.json:1816-1863; src/openapi-mcp-server/mcp/proxy.ts:195-241; src/openapi-mcp-server/client/http-client.ts:156-230,https://developers.notion.com/reference/update-a-data-source; https://developers.notion.com/reference/update-data-source-properties (accessed 2026-08-08),The implementation and first-party contract establish assignment-like updates but do not establish all observable effects of an identical repeat.,"The evidence does not say whether a no-op repeated PATCH changes service metadata, emits another event, or is otherwise deduplicated; inferring idempotence from PATCH alone is disallowed."
S028,28,idempotentHint,false,github/github-mcp-server,https://github.com/github/github-mcp-server,eb4c099e05ef622445e930b18682a0464f22418f,,update_pull_request,tools/list with --toolsets=all; explicitness checked against pkg/github source literals,"[""github/github-mcp-server"",""eb4c099e05ef622445e930b18682a0464f22418f"","""",""update_pull_request"",""idempotentHint""]",0e6998ad7ea7606f2b3ed68c8544094b65b4bea9a895a7e7881b9beea38ee465,unknown,INCONCLUSIVE,"The tool combines fixed-field PATCH updates, guarded draft-state GraphQL mutations, and optional reviewer-request calls.",pkg/github/pullrequests.go:930-1172; go.mod:8; google/go-github pulls.go:345-390,https://docs.github.com/en/rest/pulls/pulls#update-a-pull-request (accessed 2026-08-08),"Most branches look assignment-like, but the aggregate tool includes reviewer requests and remote API effects whose identical-repeat behavior is not established.",Pinned source and the first-party contract do not establish whether repeated no-op edits or repeated reviewer requests generate additional notifications/events.
S029,29,idempotentHint,false,github/github-mcp-server,https://github.com/github/github-mcp-server,eb4c099e05ef622445e930b18682a0464f22418f,,create_branch,tools/list with --toolsets=all; explicitness checked against pkg/github source literals,"[""github/github-mcp-server"",""eb4c099e05ef622445e930b18682a0464f22418f"","""",""create_branch"",""idempotentHint""]",159fc68bf4ab7078d1f21c4d6105a5019023d29393c727a20efe670d878a2259,true,CONSERVATIVE_IMPRECISE,"create_branch resolves a source SHA and asks GitHub to create one fixed, uniquely named ref; once that ref exists, the same create cannot add another ref.",pkg/github/repositories.go:1236-1347; go.mod:8; google/go-github git_refs.go:111-140,https://docs.github.com/en/rest/git/refs#create-a-reference (accessed 2026-08-08),"After successful creation, repeating the same arguments can only target the already-existing ref; conflict/validation failure does not defeat idempotence under the protocol. Explicit true would materially enable safe retry handling.",
S030,30,idempotentHint,false,github/github-mcp-server,https://github.com/github/github-mcp-server,eb4c099e05ef622445e930b18682a0464f22418f,,create_pull_request,tools/list with --toolsets=all; explicitness checked against pkg/github source literals,"[""github/github-mcp-server"",""eb4c099e05ef622445e930b18682a0464f22418f"","""",""create_pull_request"",""idempotentHint""]",18c07991728b8edbf10ad7711d528f20b050b432b974b911d769763585db70f5,unknown,INCONCLUSIVE,"The tool POSTs a new pull request and may then request reviewers, with no local deduplication or idempotency key.",pkg/github/pullrequests.go:650-857; go.mod:8; google/go-github pulls.go:261-299,https://docs.github.com/en/rest/pulls/pulls#create-a-pull-request (accessed 2026-08-08),The implementation establishes resource creation but not the effect of an identical repeat after the first success.,"The first-party contract lists creation and generic validation outcomes but does not specify whether identical head/base requests are rejected, coalesced, or can create another pull request; POST alone is insufficient."
S031,31,openWorldHint,true,t8y2/dbx,https://github.com/t8y2/dbx,28b34918436f4901124304b8df8ac694234e9bc2,,dbx_list_tables,crates/dbx-mcp/src/server.rs:252,"[""t8y2/dbx"",""28b34918436f4901124304b8df8ac694234e9bc2"","""",""dbx_list_tables"",""openWorldHint""]",1fe326245c417dd8dd9c23fd58039814620446d0a3fca95063a2378a0f710ced,true,CORRECT,dbx_list_tables delegates to a backend that ensures an external database connection and issues DBX/database service requests.,crates/dbx-mcp/src/server.rs:252-283; crates/dbx-mcp/src/backend.rs:714-762,,"At least one ordinary supported configuration communicates with an externally hosted database/service, so actual openWorldHint is true and matches the omission default.",
S032,32,openWorldHint,true,makenotion/notion-mcp-server,https://github.com/makenotion/notion-mcp-server,1d38420769c8a1fe2d583ff1e7d2d108d4eb0b30,,API-get-users,tools/list generated from scripts/notion-openapi.json via src/openapi-mcp-server/mcp/proxy.ts:173,"[""makenotion/notion-mcp-server"",""1d38420769c8a1fe2d583ff1e7d2d108d4eb0b30"","""",""API-get-users"",""openWorldHint""]",166a13babe1f171731aa4bf7d2aedbd4f2df36f01f349ed15682681f322d8d45,true,CORRECT,The generated tool executes Notion's GET /v1/users operation against the configured Notion API.,scripts/notion-openapi.json:350-405; src/openapi-mcp-server/mcp/proxy.ts:195-241; src/openapi-mcp-server/client/http-client.ts:156-230,,"It obtains content from a remote SaaS API, so actual openWorldHint is true and matches the omission default.",
S033,33,openWorldHint,true,mark3labs/mcp-filesystem-server,https://github.com/mark3labs/mcp-filesystem-server,ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b,,write_file,filesystemserver/server.go:41,"[""mark3labs/mcp-filesystem-server"",""ba3f07f22c309d932fa9b1cebe1eb7c55fcbb83b"","""",""write_file"",""openWorldHint""]",141e66b1306138bb57a25c743a3ddb78af7d1f6e16f3e7a676a73f6195689b9b,false,CONSERVATIVE_IMPRECISE,write_file creates parent directories and writes a server-local file inside the configured allowed filesystem domain.,filesystemserver/handler/write_file.go:69-83,,"The implementation interacts only with server-controlled local files, so actual openWorldHint is false. Explicit false would materially improve trust-boundary handling over the conservative true default.",
S034,34,openWorldHint,true,github/github-mcp-server,https://github.com/github/github-mcp-server,eb4c099e05ef622445e930b18682a0464f22418f,,get_team_members,tools/list with --toolsets=all; explicitness checked against pkg/github source literals,"[""github/github-mcp-server"",""eb4c099e05ef622445e930b18682a0464f22418f"","""",""get_team_members"",""openWorldHint""]",02ae341e05e08bf65489c8101cb35198e998da940bb54312adfafccb6fdc6b35,true,CORRECT,get_team_members obtains a GitHub GraphQL client and queries a remote organization's team membership.,pkg/github/context_tools.go:229-301,,"It obtains content from the remote GitHub service, so actual openWorldHint is true and matches the omission default.",
S035,35,openWorldHint,true,KnockOutEZ/wigolo,https://github.com/KnockOutEZ/wigolo,b3ccf92be3ac15ce3ad5a439be11777d992996a3,,crawl,src/server.ts tools/list; description at src/instructions.ts:230,"[""KnockOutEZ/wigolo"",""b3ccf92be3ac15ce3ad5a439be11777d992996a3"","""",""crawl"",""openWorldHint""]",39f45e68bd74344a374a0c10779fe8834d3407461b8ca562973a7e3ca456a216,true,CORRECT,crawl fetches a caller-supplied seed URL and discovered pages through the fetch/router pipeline.,src/tools/crawl.ts:34-91,,"A supported path communicates with arbitrary web entities, so actual openWorldHint is true and matches the omission default.",
S036,36,openWorldHint,true,korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,b88c0de3f706f4f07337c9eda7133c736d1c9524,,conversations_unreads,pkg/server/server.go:321,"[""korotovsky/slack-mcp-server"",""b88c0de3f706f4f07337c9eda7133c736d1c9524"","""",""conversations_unreads"",""openWorldHint""]",20ea1cdc3997443743e5c8c7c585395b5c18f2678dae817a28fdd8aff7098b38,true,CORRECT,"conversations_unreads queries Slack for remote conversation, count, and muted-channel state.",pkg/handler/conversations.go:657-696; pkg/provider/api.go:415-513,,"It obtains content from the remote Slack service, so actual openWorldHint is true and matches the omission default.",
S037,37,openWorldHint,true,github/github-mcp-server,https://github.com/github/github-mcp-server,eb4c099e05ef622445e930b18682a0464f22418f,,manage_notification_subscription,tools/list with --toolsets=all; explicitness checked against pkg/github source literals,"[""github/github-mcp-server"",""eb4c099e05ef622445e930b18682a0464f22418f"","""",""manage_notification_subscription"",""openWorldHint""]",02fde9d3b65188a82b6374828b3b453f8b63b30a962cedebe06048b7b7779fcc,true,CORRECT,manage_notification_subscription invokes GitHub's remote thread-subscription set or delete operations.,pkg/github/notifications.go:408-495,,"Every successful action communicates with the remote GitHub service, so actual openWorldHint is true and matches the omission default.",
S038,38,openWorldHint,true,github/github-mcp-server,https://github.com/github/github-mcp-server,eb4c099e05ef622445e930b18682a0464f22418f,,search_issues,tools/list with --toolsets=all; explicitness checked against pkg/github source literals,"[""github/github-mcp-server"",""eb4c099e05ef622445e930b18682a0464f22418f"","""",""search_issues"",""openWorldHint""]",080a98a00c1ddbb36934eb4fdfa192ff11dff424db5924841c894a0d26dcff05,true,CORRECT,search_issues obtains a GitHub client and invokes the remote issue-search endpoint.,"pkg/github/issues.go:1627-1711,2023-2070",,"It obtains content from the remote GitHub service, so actual openWorldHint is true and matches the omission default.",
S039,39,openWorldHint,true,github/github-mcp-server,https://github.com/github/github-mcp-server,eb4c099e05ef622445e930b18682a0464f22418f,,delete_file,tools/list with --toolsets=all; explicitness checked against pkg/github source literals,"[""github/github-mcp-server"",""eb4c099e05ef622445e930b18682a0464f22418f"","""",""delete_file"",""openWorldHint""]",09ea14faeef3b64898caa22fd31d1b12fe51c011dec8d5f4ba78769b23558359,true,CORRECT,"delete_file reads GitHub refs and commits, creates replacement Git objects, and updates the remote branch ref.",pkg/github/repositories.go:1052-1233,,"It communicates with and mutates the remote GitHub service, so actual openWorldHint is true and matches the omission default.",
